sample_id,dataset,stratum,acc_low,acc_high,acc_max,rt_low,rt_high,rt_max
easy2hard_E2H-AMC_01370,easy2hard_amc,3,1.0,1.0,1.0,13601.8,13081.4,18304.4
easy2hard_E2H-AMC_01422,easy2hard_amc,2,1.0,1.0,1.0,354.4,879,708.6
easy2hard_E2H-AMC_01439,easy2hard_amc,3,0.0,0.4,1.0,1462.4,1143.8,2289.2
easy2hard_E2H-AMC_01462,easy2hard_amc,4,1.0,1.0,1.0,17123.6,23334.2,37052.2
easy2hard_E2H-AMC_01465,easy2hard_amc,1,1.0,1.0,1.0,227.2,154.4,152.4
easy2hard_E2H-AMC_01517,easy2hard_amc,4,1.0,1.0,1.0,1064,1111,1713.4
easy2hard_E2H-AMC_01543,easy2hard_amc,4,1.0,1.0,1.0,3090,7157.4,10732.6
easy2hard_E2H-AMC_01706,easy2hard_amc,5,0.0,0.0,0.0,28209.4,47580.4,43336.4
easy2hard_E2H-AMC_01755,easy2hard_amc,3,1.0,1.0,1.0,1152.8,1828,2686.2
easy2hard_E2H-AMC_01758,easy2hard_amc,5,0.0,0.0,0.0,1875.2,2412.6,4265.6
easy2hard_E2H-AMC_01778,easy2hard_amc,3,0.0,0.0,0.0,5941.8,6115,13641.8
easy2hard_E2H-AMC_01787,easy2hard_amc,5,1.0,1.0,1.0,1733.2,2270.2,4590.2
easy2hard_E2H-AMC_01804,easy2hard_amc,3,1.0,1.0,1.0,3040.4,1948.6,3103.6
easy2hard_E2H-AMC_01869,easy2hard_amc,4,1.0,1.0,1.0,736.8,858.4,790.2
easy2hard_E2H-AMC_01872,easy2hard_amc,3,1.0,1.0,1.0,2889.2,4494,5149.4
easy2hard_E2H-AMC_01949,easy2hard_amc,3,1.0,1.0,0.8,777,1074.4,6227
easy2hard_E2H-AMC_01952,easy2hard_amc,3,1.0,1.0,1.0,92.8,88,92
easy2hard_E2H-AMC_01990,easy2hard_amc,4,0.2,0.6,0.0,8246.2,8446.6,14040.4
easy2hard_E2H-AMC_02180,easy2hard_amc,2,1.0,1.0,1.0,4161.4,4594,12196
easy2hard_E2H-AMC_02195,easy2hard_amc,2,1.0,1.0,1.0,2559.4,1303.8,1378.2
easy2hard_E2H-AMC_02226,easy2hard_amc,1,1.0,1.0,1.0,119.4,117.4,130.6
easy2hard_E2H-AMC_02232,easy2hard_amc,5,1.0,1.0,1.0,217.6,244,262.6
easy2hard_E2H-AMC_02288,easy2hard_amc,5,1.0,1.0,1.0,15494.2,16627.8,29365.2
easy2hard_E2H-AMC_02316,easy2hard_amc,2,1.0,1.0,1.0,386.2,414.6,553.2
easy2hard_E2H-AMC_02317,easy2hard_amc,3,1.0,1.0,1.0,1036,799,859.6
easy2hard_E2H-AMC_02639,easy2hard_amc,2,1.0,1.0,1.0,1213,951.8,1726
easy2hard_E2H-AMC_02662,easy2hard_amc,3,0.2,0.2,0.0,515.6,1083.2,1131
easy2hard_E2H-AMC_02664,easy2hard_amc,5,1.0,1.0,1.0,1558,3434.2,7880.6
easy2hard_E2H-AMC_02787,easy2hard_amc,1,1.0,1.0,1.0,5767.8,5802.2,13061.8
easy2hard_E2H-AMC_02852,easy2hard_amc,2,1.0,1.0,1.0,6766.4,2769.4,6656.2
easy2hard_E2H-AMC_02864,easy2hard_amc,4,1.0,1.0,1.0,973.2,994.8,1251.8
easy2hard_E2H-AMC_02935,easy2hard_amc,2,1.0,1.0,1.0,676,391.8,657.8
