,accuracy,mean_reasoning_tokens,mean_cost_usd,mean_latency_ms,token_reduction_vs_max,accuracy_loss_vs_max
always_low,0.4943,5263.6,0.001521,96956.9,0.5393,0.0034
always_high,0.5015,9797.3,0.0028,152417.9,0.1424,-0.0038
always_max,0.4977,11424.1,0.003259,140319.9,-0.0,0.0
stratum_router,0.5113,8968.9,0.002566,115170.8,0.2149,-0.0136
oracle_best,0.5408,5964.8,0.001723,68053.1,0.4779,-0.043
oracle_minimal,0.5408,5964.8,0.001723,68053.1,0.4779,-0.043
ml_router_cv,0.4936,6653.0,0.001917,96419.8,0.4176,0.0042
ml_router_lodo,0.4891,6973.1,0.002008,120583.7,0.3896,0.0087
